ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL,la,lb,t,BFEW,BFEL
2,Chennai,Chennai Open,1/5/2016,ATP250,Outdoor,Hard,1st Round,3.0,Garcia-Lopez G.,Daniel T.,27.0,96.0,1430.0,603.0,4.0,6.0,7.0,5.0,6.0,2.0,,,,,2.0,1.0,Completed,1.5,2.5,1.52,2.45,1.5,2.62,1.56,2.56,1.57,2.7,1.5,2.53,garcia-lopez,daniel,chennai,,
2,Chennai,Chennai Open,1/5/2016,ATP250,Outdoor,Hard,1st Round,3.0,Ramanathan R.,Gimeno-Traver D.,248.0,98.0,209.0,590.0,6.0,2.0,6.0,0.0,,,,,,,2.0,0.0,Completed,1.9,1.8,2.0,1.75,2.0,1.8,2.04,1.85,2.06,1.85,1.98,1.8,ramanathan,gimeno-traver,chennai,,
2,Chennai,Chennai Open,1/6/2016,ATP250,Outdoor,Hard,2nd Round,3.0,Garcia-Lopez G.,Pavic A.,27.0,449.0,1430.0,90.0,7.0,6.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.36,3.0,1.38,3.0,1.36,3.25,1.4,3.2,1.44,3.25,1.37,3.02,garcia-lopez,pavic,chennai,,
2,Chennai,Chennai Open,1/6/2016,ATP250,Outdoor,Hard,2nd Round,3.0,Bautista R.,Millman J.,25.0,92.0,1480.0,611.0,6.0,4.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.28,3.5,1.3,3.4,1.3,3.5,1.38,3.31,1.38,3.8,1.3,3.42,bautista,millman,chennai,,
2,Chennai,Chennai Open,1/8/2016,ATP250,Outdoor,Hard,Quarterfinals,3.0,Wawrinka S.,Garcia-Lopez G.,4.0,27.0,6865.0,1430.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.16,5.0,1.2,4.3,1.2,4.5,1.19,5.5,1.2,5.5,1.18,4.8,wawrinka,garcia-lopez,chennai,,
2,Chennai,Chennai Open,1/8/2016,ATP250,Outdoor,Hard,Quarterfinals,3.0,Coric B.,Bautista R.,44.0,25.0,941.0,1480.0,3.0,6.0,6.0,4.0,7.0,6.0,,,,,2.0,1.0,Completed,3.0,1.36,2.85,1.4,3.0,1.4,3.17,1.42,3.25,1.44,2.95,1.39,coric,bautista,chennai,,
3,Doha,Qatar Exxon Mobil Open,1/4/2016,ATP250,Outdoor,Hard,1st Round,3.0,Chardy J.,Zayid M. S.,31.0,1512.0,1255.0,3.0,6.0,1.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.0,51.0,1.0,27.0,1.0,34.0,1.01,51.0,1.01,51.0,1.01,26.32,chardy,m.,doha,,
3,Doha,Qatar Exxon Mobil Open,1/5/2016,ATP250,Outdoor,Hard,1st Round,3.0,Mathieu P.H.,Ramos-Vinolas A.,95.0,54.0,604.0,798.0,6.0,3.0,4.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,1.8,1.9,1.8,2.0,1.8,2.0,1.87,2.02,1.87,2.04,1.81,1.96,mathieu,ramos-vinolas,doha,,
3,Doha,Qatar Exxon Mobil Open,1/5/2016,ATP250,Outdoor,Hard,1st Round,3.0,Nadal R.,Carreno-Busta P.,5.0,67.0,5230.0,734.0,6.0,7.0,6.0,3.0,6.0,1.0,,,,,2.0,1.0,Completed,1.02,15.0,1.03,10.5,1.04,11.0,1.03,16.29,1.04,16.29,1.03,12.5,nadal,carreno-busta,doha,,
4,Auckland,ASB Classic,1/11/2016,ATP250,Outdoor,Hard,1st Round,3.0,De Bakker T.,Ramos-Vinolas A.,100.0,55.0,582.0,798.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.0,1.72,1.9,1.8,2.0,1.8,2.14,1.78,2.15,1.85,2.03,1.76,bakker,ramos-vinolas,auckland,,
