tour,percent,rows,base,slope,kappa,markov_accuracy,serve_shrink_accuracy,residual_accuracy,markov_val_logloss,serve_shrink_val_logloss,residual_val_logloss
ATP,0,4172,0.59,0.00013,40,0.6831275720164609,0.6831275720164609,0.7037037037037037,0.5102430049474482,0.5102430049474482,0.5146183094762414
WTA,0,3724,0.59,9e-05,40,0.7163561076604554,0.7163561076604554,0.7101449275362319,0.6120455628038133,0.6120455628038133,0.6161082840244309
ATP,5,4172,0.59,0.00013,160,0.6975308641975309,0.720164609053498,0.7160493827160493,0.4948793164501965,0.4894161010003653,0.4933961439528162
WTA,5,3724,0.62,9e-05,320,0.7412008281573499,0.7370600414078675,0.7308488612836439,0.6007764026146198,0.6000729947051489,0.582018951984272
ATP,10,4172,0.65,0.00018,160,0.7016460905349794,0.7098765432098766,0.720164609053498,0.47440235721503865,0.46262957907587454,0.484047622631562
WTA,10,3724,0.65,0.00013,320,0.7474120082815735,0.7412008281573499,0.7763975155279503,0.5783884047751443,0.5756811143430156,0.5573856934984507
ATP,15,4172,0.65,0.00018,160,0.7139917695473251,0.7386831275720165,0.7139917695473251,0.4683864317044995,0.4618796148851202,0.45995621317860447
WTA,15,3724,0.59,9e-05,320,0.7329192546583851,0.7246376811594203,0.7474120082815735,0.5861224912788936,0.5847421758140099,0.5637030459021112
ATP,20,4172,0.65,0.00018,160,0.7304526748971193,0.7386831275720165,0.7407407407407407,0.4550372220770121,0.4472737038069401,0.4445708440128724
WTA,20,3724,0.59,9e-05,640,0.7412008281573499,0.7329192546583851,0.7474120082815735,0.578417255395707,0.5782872818571687,0.5376609499299836
ATP,25,4172,0.65,0.00018,320,0.7510288065843621,0.7510288065843621,0.7592592592592593,0.47386947016432596,0.4688490304045798,0.4298852197548898
WTA,25,3724,0.65,0.00013,320,0.7619047619047619,0.7619047619047619,0.7681159420289855,0.5587501734985849,0.5570844421599812,0.5169473649976223
ATP,30,4172,0.65,0.00018,320,0.757201646090535,0.7592592592592593,0.7530864197530864,0.45852417512670135,0.4530973193606101,0.41847464555189406
WTA,30,3724,0.65,0.00013,320,0.7763975155279503,0.7660455486542443,0.7556935817805382,0.5654795895724231,0.5638817498135348,0.45883612184681716
ATP,35,4172,0.65,0.00018,320,0.7757201646090535,0.7674897119341564,0.779835390946502,0.4350969829426011,0.4306078630886485,0.3890728894783779
WTA,35,3724,0.65,0.00013,320,0.7432712215320911,0.7412008281573499,0.7784679089026915,0.5347332617475401,0.5331842503673999,0.4452868413987479
ATP,40,4172,0.65,0.00018,320,0.7633744855967078,0.7695473251028807,0.7901234567901234,0.41920192284318464,0.414506529977548,0.34556547753712447
WTA,40,3724,0.65,0.00013,320,0.7619047619047619,0.7598343685300207,0.7846790890269151,0.5715633082546155,0.5686544820611641,0.4257939840028466
ATP,45,4172,0.65,0.00018,320,0.7839506172839507,0.7921810699588477,0.8004115226337448,0.4040872840157062,0.39727802346947944,0.3431239386942397
