match_fraction,percent,model,bin,bin_low,bin_high,count,mean_predicted_probability,observed_win_rate,abs_calibration_error
0.25,25,Markov Ensemble,1,0.0,0.1,135,0.04951541121818819,0.037037037037037035,0.012478374181151157
0.25,25,Markov Ensemble,2,0.1,0.2,88,0.14873300557689206,0.13636363636363635,0.01236936921325571
0.25,25,Markov Ensemble,3,0.2,0.30000000000000004,66,0.25432012729111436,0.22727272727272727,0.027047400018387097
0.25,25,Markov Ensemble,4,0.30000000000000004,0.4,106,0.3461871155710892,0.3584905660377358,0.012303450466646604
0.25,25,Markov Ensemble,5,0.4,0.5,90,0.4490639971928079,0.5222222222222223,0.07315822502941438
0.25,25,Markov Ensemble,6,0.5,0.6000000000000001,109,0.546155813761675,0.6146788990825688,0.0685230853208938
0.25,25,Markov Ensemble,7,0.6000000000000001,0.7000000000000001,82,0.6458908608561403,0.6463414634146342,0.0004506025584938289
0.25,25,Markov Ensemble,8,0.7000000000000001,0.8,76,0.7504556532884079,0.7236842105263158,0.02677144276209209
0.25,25,Markov Ensemble,9,0.8,0.9,78,0.8516674055808338,0.8205128205128205,0.031154585068013274
0.25,25,Markov Ensemble,10,0.9,1.0,139,0.9475389262794679,0.9496402877697842,0.002101361490316256
0.5,50,Markov Ensemble,1,0.0,0.1,230,0.032547507975411734,0.017391304347826087,0.015156203627585647
0.5,50,Markov Ensemble,2,0.1,0.2,52,0.13598007239901702,0.11538461538461539,0.02059545701440163
0.5,50,Markov Ensemble,3,0.2,0.30000000000000004,43,0.2503817370759185,0.27906976744186046,0.028688030365941974
0.5,50,Markov Ensemble,4,0.30000000000000004,0.4,73,0.350888776253947,0.4383561643835616,0.08746738812961463
0.5,50,Markov Ensemble,5,0.4,0.5,91,0.452187372507974,0.45054945054945056,0.001637921958523414
0.5,50,Markov Ensemble,6,0.5,0.6000000000000001,87,0.5528067555510762,0.5402298850574713,0.012576870493604897
0.5,50,Markov Ensemble,7,0.6000000000000001,0.7000000000000001,64,0.6421419135270068,0.625,0.01714191352700678
0.5,50,Markov Ensemble,8,0.7000000000000001,0.8,48,0.745095285121792,0.8125,0.06740471487820798
0.5,50,Markov Ensemble,9,0.8,0.9,44,0.8571554029453093,0.8181818181818182,0.03897358476349111
0.5,50,Markov Ensemble,10,0.9,1.0,237,0.9713865284628707,0.9746835443037974,0.003297015840926787
0.75,75,Markov Ensemble,1,0.0,0.1,321,0.0077940854541691815,0.003115264797507788,0.004678820656661394
0.75,75,Markov Ensemble,2,0.1,0.2,43,0.14934211871667355,0.23255813953488372,0.08321602081821017
0.75,75,Markov Ensemble,3,0.2,0.30000000000000004,24,0.2599112197524137,0.3333333333333333,0.0734221135809196
0.75,75,Markov Ensemble,4,0.30000000000000004,0.4,33,0.3534894077451736,0.3939393939393939,0.0404499861942203
0.75,75,Markov Ensemble,5,0.4,0.5,43,0.4511064608215897,0.3953488372093023,0.05575762361228742
0.75,75,Markov Ensemble,6,0.5,0.6000000000000001,45,0.5638118012415397,0.4222222222222222,0.1415895790193175
0.75,75,Markov Ensemble,7,0.6000000000000001,0.7000000000000001,48,0.6515935769608964,0.6666666666666666,0.01507308970577026
0.75,75,Markov Ensemble,8,0.7000000000000001,0.8,43,0.7485872239055943,0.7674418604651163,0.01885463655952202
0.75,75,Markov Ensemble,9,0.8,0.9,46,0.848073090031275,0.782608695652174,0.06546439437910101
0.75,75,Markov Ensemble,10,0.9,1.0,323,0.9876162701833787,0.9876160990712074,1.7111217132104173e-07
