match_fraction,percent,base,slope,kappa,markov_val_logloss,serve_shrink_val_logloss,residual_val_logloss,markov_accuracy,serve_shrink_accuracy,residual_accuracy
0.05,5,0.65,0.00013,320,0.5515416463773674,0.5509256958550534,0.5596439984515795,0.7089783281733746,0.7110423116615067,0.7058823529411765
0.1,10,0.64,0.00013,160,0.539883456944522,0.5351743814346992,0.5295043778161368,0.7254901960784313,0.7296181630546955,0.7420020639834881
0.15,15,0.63,0.00013,320,0.5286764342757845,0.5245689030117369,0.5169514402495463,0.7358101135190919,0.7368421052631579,0.7461300309597523
0.2,20,0.63,0.00013,320,0.529518909708541,0.5280673287084056,0.5097635723744136,0.7430340557275542,0.7420020639834881,0.7502579979360166
0.25,25,0.64,0.00013,640,0.51548135468913,0.5141572651211359,0.48243837615027624,0.7574819401444789,0.7564499484004128,0.7616099071207431
0.3,30,0.59,0.00013,640,0.5413692999554504,0.5389984761912197,0.4640803554841207,0.7492260061919505,0.7512899896800825,0.7512899896800825
0.35,35,0.62,0.00013,640,0.531919037874753,0.5294805124043344,0.44221723697754634,0.7533539731682146,0.7543859649122807,0.7636738906088751
0.39999999999999997,40,0.61,0.00013,320,0.48359571211359387,0.480255181496346,0.40478934475190037,0.759545923632611,0.762641898864809,0.7915376676986584
0.44999999999999996,45,0.59,0.00013,320,0.4682724584211319,0.4628538298200582,0.3945949319199963,0.7843137254901961,0.7853457172342622,0.8059855521155831
0.49999999999999994,50,0.59,0.00013,160,0.4336377609093448,0.4266459308808263,0.3561231982814239,0.803921568627451,0.7946336429308566,0.8214654282765738
0.5499999999999999,55,0.59,0.00013,160,0.42006362086457144,0.40566880295924423,0.32927012547140017,0.8183694530443757,0.8111455108359134,0.8431372549019608
0.6,60,0.65,0.00013,80,0.4120299552052144,0.4002458872529399,0.29394658373942856,0.8338493292053664,0.8317853457172343,0.846233230134159
0.65,65,0.65,0.00013,80,0.3569808991637692,0.34131527245561644,0.2727098532128904,0.8410732714138287,0.8328173374613003,0.8627450980392157
0.7,70,0.59,0.00013,40,0.334467045225562,0.3085788966719052,0.23303405900767732,0.8503611971104231,0.8606811145510835,0.8761609907120743
0.75,75,0.59,0.00013,40,0.3138664882970343,0.28416670234068264,0.20406315482915996,0.8648090815273478,0.8720330237358102,0.8833849329205367
0.7999999999999999,80,0.59,0.00013,40,0.29026669031942043,0.2602470470727849,0.18004182433887028,0.8740970072239422,0.8875128998968008,0.8947368421052632
0.85,85,0.59,0.00013,40,0.2550219982379065,0.2254450416643709,0.1544476044132334,0.9060887512899897,0.9091847265221878,0.9184726522187823
0.9,90,0.65,0.00018,40,0.18342225484165361,0.16278445884573112,0.11222777123195708,0.936016511867905,0.95562435500516,0.9525283797729618
0.95,95,0.65,0.00018,40,0.13484029007020187,0.11875804470361999,0.06853289876625006,0.9597523219814241,0.9700722394220846,0.9690402476780186
